Date,Open,High,Low,Close,Adj Close,Volume
2017-04-24,406.500000,412.000000,404.625000,409.774994,368.495819,1373968
2017-04-25,412.000000,412.924988,406.799988,409.975006,368.675720,2194602
2017-04-26,410.950012,411.000000,398.274994,400.125000,359.817932,1918248
2017-04-27,398.500000,410.000000,398.100006,404.850006,364.066956,5640334
2017-04-28,406.450012,410.000000,399.875000,407.049988,366.045227,2794138
2017-05-02,408.075012,412.725006,405.850006,411.024994,369.619843,1722732
2017-05-03,412.475006,418.750000,410.500000,417.549988,375.487549,1989864
2017-05-04,418.049988,421.299988,404.075012,409.000000,367.798950,2758496
2017-05-05,410.475006,416.000000,407.149994,414.799988,373.014587,1856816
2017-05-08,414.924988,422.500000,412.850006,420.100006,377.780701,1581634
2017-05-09,422.500000,427.424988,419.975006,424.875000,382.074768,1814522
2017-05-10,424.375000,425.450012,419.049988,421.799988,379.309509,1515412
2017-05-11,428.899994,429.399994,417.799988,419.350006,377.106262,7029834
2017-05-12,420.000000,424.100006,419.524994,423.825012,381.130463,3295402
2017-05-15,424.250000,425.000000,422.500000,424.274994,381.535065,1375146
2017-05-16,425.000000,428.049988,424.024994,424.799988,382.007263,5948804
2017-05-17,426.000000,427.649994,421.100006,426.774994,383.783264,2747118
2017-05-18,425.424988,436.125000,422.125000,424.200012,381.467682,7317362
2017-05-19,426.500000,427.250000,422.049988,422.350006,379.804047,2896062
2017-05-22,425.000000,431.125000,424.000000,428.725006,385.536896,5784538
2017-05-23,431.500000,435.399994,429.575012,432.450012,388.886627,6427042
2017-05-24,427.450012,428.975006,420.000000,427.424988,387.052856,4033036
2017-05-25,430.125000,433.750000,426.299988,429.799988,389.203583,5896078
2017-05-26,428.850006,433.000000,427.725006,429.549988,388.977142,2604830
2017-05-29,429.450012,436.000000,425.725006,432.225006,391.399536,3686630
2017-05-30,432.225006,435.975006,426.475006,434.075012,393.074768,2826830
2017-05-31,432.049988,434.649994,429.125000,432.125000,391.309021,5747114
2017-06-01,431.500000,435.500000,429.575012,431.125000,390.403381,1843166
2017-06-02,431.399994,434.850006,426.850006,428.950012,388.433868,2223574
2017-06-05,428.000000,433.450012,428.000000,429.350006,388.796051,2816618
2017-06-06,437.750000,454.799988,433.049988,444.725006,402.718842,13253770
2017-06-07,446.674988,447.450012,432.274994,440.250000,398.666473,6733948
2017-06-08,440.000000,440.200012,432.500000,434.174988,393.165283,2830620
2017-06-09,433.274994,436.450012,428.299988,430.375000,389.724213,2701028
2017-06-12,431.399994,434.325012,426.024994,432.774994,391.897614,2065426
2017-06-13,431.000000,432.450012,421.149994,423.575012,383.566528,2487790
