"Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,IPM"
"12.87,10263,7.87,68.19,Normal"
"12.99,8593,8.37,66.63,Normal"
"13.28,8220,7.99,67.75,Normal"
"12.73,10266,8.29,66.64,Normal"
"12.57,11124,7.99,63.29,Normal"
"12.9,9273,8.24,67.95,Normal"
"13.03,9392,7.47,68.19,Normal"
"16.02,13938,11.79,70.13,Very-High"
"12.65,9982,08.05,70.65,Normal"
"12.25,9929,08.06,67.58,Normal"
"12.18,9250,7.22,68.56,Normal"
"12.5,9875,7.69,69.33,Normal"
"12.85,9983,7.6,70.73,Normal"
"12.92,11219,7.58,69.84,High"
"12.48,8733,8.21,69.21,Normal"
"12.36,9102,7.7,69.4,Normal"
"11.89,10683,7.49,69.97,Normal"
"12.36,7892,7.7,69.04,Normal"
"12.83,10262,8.38,70.08,High"
"11.63,7894,6.88,68.19,Normal"
"12.05,8395,7.24,70,Normal"
"11.99,8457,08.01,63.5,Normal"
"14.64,12197,10.93,71.37,High"
"14.47,11906,10.96,71.63,High"
"12.05,12794,08.06,70.64,High"
"12.77,12416,8.24,71.06,High"
"11.85,13554,8.46,71.05,High"
"11.53,12233,7.22,70.06,Normal"
"11.81,12909,7.19,71.36,High"
"11.37,11757,6.67,68.16,Normal"
"11.52,11730,8.22,72.03,High"
"13.15,15663,9.92,73.3,High"
"12.87,14209,10.12,69.96,High"
"12.42,11885,8.17,70.91,High"
"13.1,14482,8.44,70.38,High"
"13.9,14705,8.73,65.06,High"
"12.45,11998,6.67,62.06,Normal"
"12.81,11875,7.17,67.21,Normal"
"13.16,18095,11.14,73.33,Very-High"
"14.12,15498,10.25,72.1,High"
"12.98,18227,11.13,72.91,Very-High"
"12.57,12412,8.68,68.76,High"
"13.33,23575,11.63,74.12,Very-High"
"13.86,17438,11.66,74.47,Very-High"
"13.25,17179,11.38,74.11,Very-High"
"12.8,20468,10.63,73.62,Very-High"
"12.63,18437,10.8,73.28,Very-High"
"12.5,10845,8.55,73.04,High"
"12.48,10317,8.3,71.17,High"
"12.23,8823,07.07,70.97,Normal"
"11.99,7980,7.18,70.13,Normal"
"12.69,10201,8.96,73.53,High"
"11.91,7876,7.52,71.41,Normal"
"12.53,7852,7.35,69.47,Normal"
"14.06,9288,7.7,71.83,High"
"12.22,9459,7.57,73.59,Normal"
"12.25,10342,6.92,71.99,Normal"
"12.22,9521,7.27,70.27,Normal"
"12.97,10217,8.51,72.43,High"
"12.25,9859,6.3,71.63,Normal"
"11.7,10790,7.1,72.35,Normal"
"12.11,11614,08.09,70.99,High"
"12.09,11315,7.77,72.15,High"
"13.09,11241,9.12,73.68,High"
"11.87,8455,8.19,72.34,Normal"
"12.07,9084,7.74,71.4,Normal"
"13.41,11564,10.33,73.61,High"
"13.47,10999,9.59,72.42,High"
"14.2,16887,10.75,74.28,Very-High"
"13.12,11800,9.91,72.26,High"
"14,15776,11.16,75.01,Very-High"
"13.92,15281,11.28,74.44,Very-High"
"13.8,12025,10.96,74.03,High"
"13.45,10263,9.33,72.15,High"
"13.23,10535,8.63,70.99,High"
"12.7,10930,7.69,74.37,High"
"12.5,10440,6.97,73.73,Normal"
"12.85,11448,7.52,73.72,High"
"11.99,9914,7.24,73.14,Normal"
"11.46,9263,6.74,74.18,Normal"
"13.34,8901,7.54,73.4,Normal"
"13.5,10163,8.12,74.72,High"
"11.75,10621,6.81,71.82,Normal"
"12.54,9301,7.78,73.72,Normal"
"12.56,12910,7.84,75.95,High"
"13.25,11921,8.58,76.78,High"
"13.83,11325,9.34,77.65,High"
"12.49,9286,7.33,76.16,High"
"13.68,11428,8.56,77.47,High"
"12.83,12589,7.65,75.71,High"
"12.3,10221,6.91,74.75,Normal"
"12.2,9571,6.83,74.41,Normal"
"12.11,10328,7.16,74.55,High"
"12.65,10390,7.44,76.22,High"
"13.23,11160,8.75,76.6,High"
"12.75,10343,7.68,75.84,High"
"13.31,10128,7.71,75.4,High"
"12.97,11966,08.02,75.73,High"
"12.14,9343,7.24,75.58,Normal"
"12.95,11425,7.45,74.43,High"
"12.01,9431,6.87,74.69,Normal"
"12.41,10312,6.91,73.69,Normal"
"11.95,8461,6.42,73.4,Normal"
"12.67,9612,6.98,71.6,Normal"
"12.04,10058,6.21,69.33,Normal"
"14.14,12210,10.39,76.85,High"
"14.87,14761,10.69,77.22,Very-High"
"15.41,15699,10.42,77.4,Very-High"
"15.52,15243,10.53,77.34,Very-High"
"12.84,12467,8.96,74.38,High"
"13.05,12999,8.51,74.46,High"
"15.59,14015,9.55,74.99,High"
"14.26,10041,8.86,75.24,High"
"15.17,15517,9.55,73.86,Very-High"
"12.97,9486,7.21,74.12,Normal"
"16.73,15926,10.91,74.81,Very-High"
"17.43,18678,11.46,74.65,Very-High"
"13.19,11601,7.78,71.3,High"
"12.64,8796,7.6,71.94,Normal"
"13.73,9670,7.54,72.77,High"
"12.35,9630,7.55,73.75,Normal"
"13.31,10705,8.33,74.08,High"
"12.46,10654,7.39,73.52,High"
"13.15,11000,08.02,72.61,High"
"13.18,10028,7.42,72.55,High"
"11.81,9088,6.4,70.1,Normal"
"13.42,9294,6.48,69.15,Normal"
"12.8,12140,7.16,70.65,High"
"13.28,10610,5.93,66.74,Normal"
"13.15,9857,6.46,69.13,Normal"
"12.35,10859,6.11,67.2,Normal"
"12.41,10164,7.4,70.23,Normal"
"14.93,14458,10.5,74.04,Very-High"
"12.88,12779,8.51,72.53,High"
"13.27,11261,8.54,72.4,High"
"12.86,12130,7.64,71.54,High"
"13.16,11574,7.81,71.38,High"
"14.03,11776,8.24,72.59,High"
"12.7,11418,07.06,72.3,High"
"12.39,10121,7.33,71.56,Normal"
"12.21,10238,6.95,71.43,Normal"
"13.48,11456,7.92,72.4,High"
"13.73,13246,9.3,72.66,High"
"11.6,8610,5.95,70.18,Normal"
"12.37,8739,4.85,68.03,Normal"
"13.64,8739,6.69,67.58,Normal"
"13.2,8888,5.71,71.41,Normal"
"15.26,12239,9.93,74.02,High"
"14.32,13733,10.11,73.75,High"
"15.51,16593,10.18,73.27,Very-High"
"13.59,12180,8.7,70.29,High"
"13.62,13281,9.12,71.52,High"
"14,13499,10.25,73.32,High"
"14.4,16018,11.14,72.81,Very-High"
"14.8,17755,10.49,74.18,Very-High"
"14.13,12824,09.07,72.61,High"
"12.89,11964,8.89,69.96,High"
"13.47,8572,7.1,64.66,Normal"
"11.97,8690,6.4,67.21,Normal"
"12.82,12203,8.39,69.89,High"
"12.57,10665,7.5,64.64,Normal"
"13.85,14484,10.69,71.6,High"
"13.16,13010,9.87,66.67,High"
"12.78,13212,8.76,68,High"
"14.47,15667,11.81,72.47,Very-High"
"13.33,13929,8.95,72.13,High"
"12.65,11790,8.23,72.35,High"
"13,14494,8.88,73.65,High"
"13.98,17503,10.39,75.1,Very-High"
"13.89,14544,09.04,73.68,High"
"12.99,11376,8.13,71.25,High"
"12.34,11268,7.17,70.52,Normal"
"12.41,10237,6.32,70.47,Normal"
"13.07,13463,7.24,71.83,High"
"14,19723,11.47,74.82,Very-High"
"13.7,10351,7.31,66.51,Normal"
"13.71,11304,6.41,66.94,Normal"
"13.67,9952,6.28,66.21,Normal"
"13.69,9409,6.7,65.97,Normal"
"13.06,9146,7.92,67.54,Normal"
"13.32,8889,8.44,66.82,Normal"
"13.29,8468,7.78,66.33,Normal"
"13.62,11536,8.66,68.07,High"
"12.72,9006,5.91,67.17,Normal"
"15.59,14968,9.46,71.76,High"
"15,11105,10.49,70.38,High"
"13.18,7598,7.63,67.01,Normal"
"13.11,7321,6.6,67.08,Normal"
"12.82,9406,7.12,65.13,Normal"
"13.85,7526,7.38,64.63,Normal"
"12.57,6861,6.73,66.42,Normal"
"13.31,6364,7.81,66.96,Normal"
"12.27,7479,7.35,64.61,Normal"
"12.23,6786,8.41,61.48,Normal"
"12.42,7305,8.22,67.07,Normal"
"12.91,7631,7.71,65.2,Normal"
"13.16,8081,6.94,67.24,Normal"
"13.78,9094,7.81,65.29,Normal"
"12.7,8865,8.52,68.04,Normal"
"13.41,7203,7.37,67.03,Normal"
"13.18,6539,7.59,64.6,Normal"
"12.28,7468,7.3,67.38,Normal"
"12.96,6108,6.25,68.38,Normal"
"13.06,6372,6.34,68.53,Normal"
"12.48,8309,7.89,67.13,Normal"
"11.99,5818,07.08,68.04,Normal"
"13.14,5265,6.65,60.64,Low"
"12.78,5901,6.87,64.97,Normal"
"16.4,13337,11.58,69.55,High"
"12.6,8930,7.37,70.69,Normal"
"12.61,9858,6.71,68.93,Normal"
"12.09,9102,6.76,73.83,Normal"
"12.4,7357,7.11,72.84,Normal"
"12.39,7801,07.03,71.04,Normal"
"11.57,8245,7.15,71.42,Normal"
"11.8,9163,7.31,71.1,Normal"
"12.03,8728,07.07,71.71,Normal"
"12.05,7162,7.52,72.52,Normal"
"11.88,7434,6.83,71.84,Normal"
"11.16,8332,6.76,72.97,Normal"
"11.82,7842,06.01,68.28,Normal"
"13.82,8709,6.83,70.59,Normal"
"15,14465,10.17,72.96,High"
"12.9,11650,7.89,72.06,High"
"12.66,11154,8.59,69.74,High"
"12.72,13109,8.42,70.59,High"
"12.84,11854,8.13,69.85,High"
"12.92,11015,7.59,68.74,Normal"
"12.55,11486,8.82,67.09,High"
"12.49,9936,8.71,71.3,High"
"12.12,8674,08.01,71.53,Normal"
"12.48,11190,8.42,69.36,High"
"11.99,9370,7.94,69.26,Normal"
"12.67,10548,8.67,65.78,Normal"
"12.41,10047,8.18,68.04,Normal"
"11.78,10793,9.14,70.4,High"
"12.83,11319,9.21,68.22,High"
"11.75,10419,7.54,69.51,Normal"
"14.95,14055,11.52,73.21,Very-High"
"12.68,12032,8.29,68.66,High"
"12.01,11207,7.88,69.45,Normal"
"11.93,11530,7.43,69.21,Normal"
"12.44,12603,7.35,67.21,Normal"
"12.39,9805,7.34,66.09,Normal"
"11.94,11841,7.76,70.4,High"
"12.17,12672,7.75,65.97,Normal"
"12.2,12153,8,66.01,Normal"
"12.91,9527,7.53,63.83,Normal"
"12.72,11283,9.1,70.44,High"
"12.37,11718,7.96,70.34,High"
"12.46,11452,7.55,67.72,Normal"
"13.93,14306,9.95,71.13,High"
"14.81,13675,10.95,71.99,High"
"13.72,11728,9.77,74.33,High"
"13.1,10344,8.55,72.62,High"
"12.9,9712,8.47,72.86,High"
"13.59,10720,9.22,72.34,High"
"12.89,10485,9.19,73.16,High"
"13.32,12018,9.52,72.06,High"
"12.56,11231,8.28,71.41,High"
"12.51,7524,7.97,72.1,Normal"
"14.14,14549,10.68,74.49,Very-High"
"14.89,14135,10.48,74.27,Very-High"
"13.03,16278,10.79,74.28,Very-High"
"12.93,8756,9,72.59,High"
"13.3,9611,9.39,71.45,High"
"13,9121,8.94,72.66,High"
"12.21,7381,8.54,71.42,Normal"
"12.64,6804,8,71.34,Normal"
"14.02,10894,9.97,73.97,High"
"12.85,10791,9.49,71.69,High"
"11.52,10128,7.93,69.36,Normal"
"13.98,12395,9.59,71.08,High"
"12.32,11427,8.29,70.1,High"
"12.51,8505,9.51,70.16,Normal"
"12.74,11481,09.08,69.92,High"
"12.8,11405,9.99,71.38,High"
"11.91,9062,8.4,67.66,Normal"
"11.67,8080,8.97,70.73,Normal"
"12.27,10408,8.88,70.15,High"
"12.29,8837,7.9,64.49,Normal"
"11.59,8998,7.83,67.89,Normal"
"14.15,13886,11.27,71.87,High"
"12.61,12193,9.88,71.07,High"
"14.2,11745,10.73,71.93,High"
"12.79,10744,10.1,70.47,High"
"13.17,9335,8.83,68.69,Normal"
"13.06,7429,8.43,66.31,Normal"
"13.24,9554,8.52,70.88,High"
"13.34,10993,9.33,69.18,High"
"13.7,8808,9.41,71.18,High"
"12.49,7960,7.97,67.33,Normal"
"12.73,7917,8.51,65.9,Normal"
"13.09,7942,8.86,68.76,Normal"
"12.47,9641,7.48,64.3,Normal"
"12.28,7606,8.39,65.67,Normal"
"12.87,8126,8.6,69.99,Normal"
"12.95,7663,8.62,65.38,Normal"
"12.24,8853,8.71,69.61,Normal"
"16.23,14839,11.61,71.04,Very-High"
"13.45,11079,8.38,70.57,High"
"12.65,8970,7.88,68.46,Normal"
"13.17,10513,7.67,67.92,Normal"
"12.04,11632,6.72,70.54,Normal"
"11.98,9114,6.59,66.39,Normal"
"12.41,10454,7.29,67.18,Normal"
"13.64,9394,8.19,70.43,High"
"13.05,9439,7.75,67.3,Normal"
"13.04,10963,7.73,69.02,Normal"
"12.76,11405,7.66,66.66,Normal"
"13.58,10923,8.23,69.02,High"
"12.88,8963,7.15,67.07,Normal"
"12.9,9483,7.81,69.65,Normal"
"13.14,12386,6.81,67.35,Normal"
"12.94,12073,7.84,69.83,High"
"13.23,11844,7.86,69.61,High"
"13.7,10844,8.9,70.91,High"
"13.33,10014,8.24,70.34,High"
"13.8,7217,8.26,73.3,Normal"
"12.43,11562,7.79,68.51,Normal"
"12.83,12814,8.8,70.53,High"
"13.38,8097,7.96,73.39,Normal"
"15.57,16873,11.21,72.09,Very-High"
"14.5,13663,10.45,71.27,High"
"15.08,12995,10.76,70.88,High"
"13.65,9331,09.04,71.22,High"
"13.75,7307,7.71,68.25,Normal"
"13.79,8203,8.36,70.39,Normal"
"13,10126,9.15,70.27,High"
"12.81,12515,8.98,71.06,High"
"12.36,9037,7.86,70.8,Normal"
"11.84,8234,08.03,68.91,Normal"
"13.5,9204,7.94,70.41,Normal"
"12.11,10218,8.12,70.36,Normal"
"12.76,7470,8.92,70.93,Normal"
"12.83,9165,9.21,69.51,Normal"
"12.41,7727,7.56,72.67,Normal"
"12.06,6700,9.41,68.43,Normal"
"12.5,7485,07.01,70.34,Normal"
"13,7221,7.3,67.66,Normal"
"13.23,7263,7.53,67.66,Normal"
"16.62,14335,12.2,73.77,Very-High"
"15.16,10483,10.64,71.19,High"
"13.08,10020,7.82,68.07,Normal"
"12.44,8789,6.82,69.07,Normal"
"13.17,9277,7.13,67.58,Normal"
"12.37,10255,7.12,64.07,Normal"
"13.57,10052,8.31,68.46,Normal"
"12.45,8921,07.03,65.87,Normal"
"14.34,12278,10.36,72.49,High"
"12.77,9168,7.89,65.06,Normal"
"13.61,10056,8.65,61.56,Normal"
"13.06,8580,7.41,62.38,Normal"
"12.05,7747,7.65,70.87,Normal"
"13.19,9500,7.95,67.52,Normal"
"11.93,11111,7.98,66.2,Normal"
"12.23,8414,7.46,68.33,Normal"
"13.96,8732,9.93,65.98,Normal"
"12.29,6297,9.68,63.42,Normal"
"12.81,7545,9.73,65.07,Normal"
"14.16,10210,9.67,66.42,High"
"13.03,10316,8.52,66.41,Normal"
"12.3,7586,8.82,62.87,Normal"
"13.44,8690,8.87,61.69,Normal"
"12.76,9453,8.43,59.41,Normal"
"12.27,6890,8.35,62.38,Normal"
"12.69,7566,7.94,66.27,Normal"
"16.03,14116,11.92,70.52,Very-High"
"13.97,7351,10.52,65.47,Normal"
"13.67,8032,09.04,68.33,Normal"
"13.19,7352,8.35,66.25,Normal"
"12.99,7841,9,63.91,Normal"
"12.74,6950,8.95,63.3,Normal"
"12.78,7068,7.93,65.86,Normal"
"13.6,7414,8.51,69.56,Normal"
"12.75,7876,8.26,68.88,Normal"
"12.77,6290,7.39,67.18,Normal"
"12.59,6390,7.66,62.1,Normal"
"15.74,13091,11.71,70.97,High"
"14.31,8188,9.73,69.34,High"
"12.91,8086,7.6,66.02,Normal"
"14.37,7599,8.84,68.47,Normal"
"12.13,8325,8.41,64.81,Normal"
"11.48,8219,6.98,60.1,Normal"
"12.31,9974,08.08,60.83,Normal"
"13.65,12207,8.25,68.68,High"
"13.16,6286,7.36,66.25,Normal"
"13.71,7495,8.17,66.1,Normal"
"12.03,8014,7.91,64.74,Normal"
"11.91,4998,5.24,60.13,Low"
"13.21,5336,6.85,65.19,Low"
"12.35,5505,6.63,67.58,Low"
"11.72,5099,5.12,67.24,Low"
"14.38,13954,11.14,70.7,High"
"11.08,6954,6.69,65.79,Normal"
"13.88,10097,8.72,67,High"
"12.27,7441,5.51,59.64,Low"
"14.2,9898,10.04,67.05,High"
"11.92,8840,10,68.06,Normal"
"12.73,7484,9.46,69.12,Normal"
"13.96,9705,10.33,68.25,High"
"10.49,6361,4.57,66.44,Low"
"7.24,5282,3.62,65.15,Low"
"12.4,11431,10.17,72.32,High"
"11.07,7947,8.78,59.97,Normal"
"10.55,6353,6.31,65.11,Low"
"09.02,5733,4.94,58.05,Low"
"7.61,4875,4.26,65.93,Low"
"6.25,5409,2.81,64.44,Low"
"8.6,4826,3.64,65.71,Low"
"12.05,6600,8.82,66.36,Normal"
"12.42,8910,08.01,66.69,Normal"
"12.79,6732,9.2,66.33,Normal"
"12.74,5677,8.81,65.94,Normal"
"11.79,4581,5.66,57.77,Low"
"3.61,3975,1.13,55.27,Low"
"8.62,4350,3.2,66.06,Low"
"8.93,4462,3.15,63.59,Low"
"9.11,4647,2.79,65.42,Low"
"5.39,5378,2.15,65.74,Low"
"10.58,5373,4.93,65.73,Low"
"7.65,5283,2.84,65.6,Low"
"9.81,4632,03.01,65.24,Low"
"15.01,14763,11.56,70.45,High"
"12.98,11013,8.48,71.47,High"
"14.3,9603,9.18,69.87,High"
"13.51,7210,09.08,65.22,Normal"
"14.3,8715,8.52,67.36,Normal"
"14.41,8187,8.59,64.27,Normal"
"13.99,8067,9.65,68.04,Normal"
"13.02,8600,7.86,68.67,Normal"
"14.26,10782,9.69,68.82,High"
"14.59,9692,09.09,67.93,High"
"14.71,9661,10.31,69.77,High"
"14.45,9824,8.82,66.89,High"
"14.82,8889,9.27,71.16,High"
"14.69,8189,8.46,68.79,Normal"
"13.57,8491,8.35,64.91,Normal"
"13.73,8845,7.91,65.38,Normal"
"13.58,8362,8.89,69.52,Normal"
"14.12,8348,8.5,69.14,Normal"
"13.97,9682,8.66,67.11,Normal"
"13.45,11124,9.78,69.19,High"
"14.54,10364,09.04,70.06,High"
"17.39,16892,12.64,71.36,Very-High"
"13.81,11444,11.13,70.45,High"
"15.34,12099,11.1,69.37,High"
"15.19,11421,10.9,71.52,High"
"14.21,7463,7.58,63.94,Normal"
"13.15,10649,9.45,68.95,High"
"12.39,7042,5.15,69.68,Normal"
"13.17,9900,8.36,62.51,Normal"
"13.12,11410,8.97,64.82,Normal"
"12.79,10175,8.48,67.08,Normal"
"13.68,11791,9.71,68.46,High"
"13.28,12375,10.36,69.93,High"
"12.67,11193,9.23,69.86,High"
"12.59,10983,8.49,68.11,Normal"
"12.77,11422,9.36,71.07,High"
"13.09,10602,9.34,68.79,High"
"12.75,12474,9.62,71.27,High"
"13.34,12317,10.08,71.61,High"
"12.81,11208,8.64,68.59,High"
"12.22,7105,5.53,68.58,Normal"
"13.27,7902,9.53,69.06,Normal"
"13.85,8402,8.73,65.59,Normal"
"13.46,8654,9.15,71.16,High"
"12.59,11061,8.53,68.46,High"
"12.62,10575,08.02,66.75,Normal"
"12.47,10194,9.1,67.06,Normal"
"13.02,9100,8.69,66.98,Normal"
"12.99,11553,8.74,68.64,High"
"12.82,11957,8.36,69.37,High"
"12.78,6245,6.25,69.29,Normal"
"12.71,6009,6.14,68.82,Normal"
"13.15,11656,10.18,68.77,High"
"12.49,11383,9.26,63.02,Normal"
"14.21,12571,11.15,73.33,High"
"12.71,12895,10.28,70.76,High"
"14.73,15033,11.38,72.98,Very-High"
"13.61,11260,10.77,72.25,High"
"14.53,11181,10.7,69.15,High"
"13.73,8058,8.58,71.02,Normal"
"14.01,10925,8.92,69.31,High"
"12.76,6429,07.08,64.68,Normal"
"13.31,9444,8.25,70.73,High"
"13.03,10309,7.85,68.34,Normal"
"12.36,10395,8.1,66.02,Normal"
"14.32,10709,8.45,69.73,High"
"13.62,11158,7.86,68.58,High"
"13.86,9780,8.85,72.17,High"
"13.28,9842,7.98,69.7,Normal"
"12.79,8599,7.86,67.18,Normal"
"12.7,10505,8.16,67.58,Normal"
"12.42,11431,8.46,71.1,High"
"13.4,9180,08.06,67.67,Normal"
"16.51,14728,11.34,73.57,Very-High"
"14.31,12337,11.02,73.45,High"
"13.16,10238,9.97,69.87,High"
"15.05,11013,11.45,72.77,High"
"14.96,13586,11.32,74.22,Very-High"
"14.25,13464,10.72,73.61,High"
"14.53,12958,10.37,70.15,High"
"13.14,11255,09.03,71.48,High"
"13.32,10820,8.58,68.44,High"
"12.35,10738,8.17,70.2,High"
"11.9,10382,7.22,67.66,Normal"
"12.17,12149,8.49,71.03,High"
"12.75,12347,9.65,71.03,High"
"13.45,11232,9.25,70.64,High"
"12.83,9979,8.38,69.89,Normal"
"12.86,11753,9.41,71.11,High"
"12.67,9672,8.24,70.17,Normal"
"12.81,8358,7.51,67.53,Normal"
"15.37,15206,11.43,72.22,Very-High"
"13.1,12453,9.85,70.82,High"
"12.93,10592,8.45,71.06,High"
"13.86,10198,8.21,69.82,High"
"11.98,10312,7.68,71.18,Normal"
"12.26,11679,7.76,69.09,Normal"
"12.91,10038,7.85,70.44,Normal"
"12.82,8697,8.33,71.18,Normal"
"12.01,9192,6.35,66.08,Normal"
"12.61,9539,7.7,68.03,Normal"
"12.39,10555,7.57,69.91,Normal"
"12.61,11662,8.15,67.61,Normal"
"14.9,12205,10.91,72.57,High"
"14.78,10510,10.08,72.01,High"
"12.39,10937,8.18,69.65,High"
"12.59,10261,8.69,68.01,Normal"
"11.41,11032,07.03,68.41,Normal"
"11.96,11285,7.78,68.63,Normal"
"12.33,10071,8.45,65.76,Normal"
"12.07,9795,7.51,67.86,Normal"
"11.99,10364,7.61,68.54,Normal"
"11.74,10135,7.19,68.76,Normal"
"11.74,8830,7.83,66.76,Normal"
"12.22,11753,7.54,68.87,Normal"
"12.29,10777,7.85,65.21,Normal"
"12.05,9594,7.39,64.81,Normal"
"11.9,8400,6.75,68.07,Normal"
"11.56,10223,6.5,65.43,Normal"
"14.4,15087,10.52,70.54,High"
"12.9,13072,9.72,70.09,High"
"12.84,9291,9.14,66.41,Normal"
"13.36,13586,9.81,69.04,High"
"13.59,10409,8.73,69.21,High"
"13.6,9813,09.02,67.79,High"
"13.68,10162,8.26,68.37,High"
"12.86,10336,7.86,68.04,Normal"
"12.98,8594,8.25,66.5,Normal"
"13.27,8209,7.91,67.56,Normal"
"12.72,10381,7.99,66.51,Normal"
"12.56,11177,7.9,63.12,Normal"
"12.89,9243,7.93,67.78,Normal"
"13.02,9435,7.22,68.12,Normal"
"16.01,14030,11.78,70.04,Very-High"
"12.63,10114,7.92,70.51,Normal"
"12.24,9970,7.85,67.43,Normal"
"12.17,9294,7.21,68.4,Normal"
"12.33,9978,7.68,69.2,Normal"
"12.84,10028,7.59,70.61,Normal"
"12.91,11154,7.57,69.75,High"
"12.47,8779,8.2,69.05,Normal"
"12.35,9292,7.39,69.27,Normal"
"11.88,10797,7.23,69.88,Normal"
"12.29,8059,7.6,68.88,Normal"
"12.82,10289,8.19,69.85,Normal"
"11.62,8144,6.61,68.04,Normal"
"12.04,8532,7.13,69.88,Normal"
"11.98,8652,7.82,63.27,Normal"
"14.53,12255,10.92,71.28,High"
"14.34,12017,10.64,71.55,High"
"11.94,12959,7.98,70.5,High"
"12.76,12480,8.23,70.99,High"
"11.84,13662,8.41,70.94,High"
"11.52,12275,7.21,69.99,Normal"
"11.76,13070,7.13,71.16,High"
"11.36,11910,6.42,67.9,Normal"
"11.51,11831,8.15,71.9,High"
"12.99,15883,9.8,73.17,High"
"12.83,14466,9.99,69.8,High"
"12.3,12136,7.92,70.71,High"
"12.95,14730,8.36,70.3,High"
"13.89,14821,8.72,64.81,High"
"12.44,12091,6.51,61.75,Normal"
"12.75,12065,6.91,67.06,Normal"
"13.15,18146,11.13,73.29,Very-High"
"14.09,15838,9.99,72.02,High"
"12.97,18527,11.06,72.79,Very-High"
"12.56,12623,8.47,68.51,High"
"13.32,23851,11.62,74.03,Very-High"
"13.82,17662,11.65,74.37,Very-High"
"13.24,17285,11.25,74.02,Very-High"
"12.79,20875,10.4,73.54,Very-High"
"12.62,18566,10.7,73.18,Very-High"
"12.48,11152,8.37,72.85,High"
"12.47,10683,8.29,71.01,High"
"12.22,8973,07.02,70.73,Normal"
"11.98,8290,6.97,69.91,Normal"
"12.68,10502,8.79,73.4,High"
"11.82,8099,7.51,71.22,Normal"
"12.52,8092,7.17,69.21,Normal"
"13.79,9557,7.69,71.57,High"
"12.1,9673,7.38,73.35,Normal"
"12.24,10670,6.71,71.82,Normal"
"12.21,9822,07.09,69.97,Normal"
"12.96,10406,8.27,72.29,High"
"12.24,10090,5.99,71.37,Normal"
"11.69,11012,6.85,72.13,Normal"
"12.1,11819,7.92,70.8,High"
"12.08,11856,7.65,71.98,High"
"13.08,11610,8.84,73.56,High"
"11.86,8684,8.18,72.18,Normal"
"12.06,9423,7.67,71.12,Normal"
"13.4,11825,10.32,73.41,High"
"13.46,11204,9.58,72.26,High"
"14.19,17254,10.74,74.14,Very-High"
"13.11,11930,9.9,72.13,High"
"13.99,16157,11.1,74.89,Very-High"
"13.91,15696,11,74.31,Very-High"
"13.79,12448,10.95,73.89,High"
"13.44,10414,9.13,71.93,High"
"13.22,10705,8.62,70.79,High"
"12.68,11102,7.53,74.23,High"
"12.49,10639,6.93,73.52,Normal"
"12.82,11703,7.42,73.55,High"
"11.98,10131,7.14,73.02,Normal"
"11.45,9547,6.5,74.01,Normal"
"13.04,9066,7.53,73.22,Normal"
"13.49,10342,7.91,74.52,High"
"11.74,10871,6.76,71.6,Normal"
"12.53,9387,7.77,73.56,Normal"
"12.43,13079,7.56,75.83,High"
"13.24,12074,8.31,76.68,High"
"13.82,11557,9.1,77.55,High"
"12.48,9426,07.04,76.07,Normal"
"13.67,11569,8.52,77.38,High"
"12.69,12720,7.34,75.62,High"
"12.29,10350,6.86,74.61,Normal"
"12.19,9795,6.58,74.23,Normal"
"12.1,10551,7.15,74.43,High"
"12.41,10660,7.19,76.04,High"
"13.22,11318,8.63,76.5,High"
"12.74,10609,7.44,75.74,High"
"13.01,10344,7.55,75.31,High"
"12.94,12116,08.01,75.63,High"
"12.13,9489,7.15,75.48,Normal"
"12.8,11597,7.25,74.33,High"
"12,9573,6.63,74.59,Normal"
"12.4,10508,6.88,73.57,Normal"
"11.94,8546,6.41,73.22,Normal"
"12.58,9798,6.86,71.4,Normal"
"12.03,10238,6.2,69.04,Normal"
"13.81,12514,10.33,76.75,High"
"14.55,15049,10.54,77.12,Very-High"
"15.34,15944,10.41,77.22,Very-High"
"15.51,15550,10.52,77.25,Very-High"
"12.83,12680,8.71,74.28,High"
"13.04,13250,8.31,74.34,High"
"15.58,14394,9.38,74.92,High"
"14.25,10275,8.66,75.2,High"
"15.15,15636,9.54,73.77,Very-High"
"12.96,9612,7.13,74.03,Normal"
"16.72,16434,10.67,74.77,Very-High"
"17.28,19125,11.45,74.56,Very-High"
"13.16,11739,7.59,71.18,High"
"12.62,9033,7.28,71.77,Normal"
"13.72,9883,7.21,72.65,High"
"12.25,9865,7.28,73.59,Normal"
"13.15,10891,08.07,73.95,High"
"12.45,10861,7.29,73.39,High"
"12.88,11146,08.01,72.54,High"
"13.17,10270,7.27,72.45,High"
"11.8,9274,6.22,69.94,Normal"
"13.22,9525,6.18,68.99,Normal"
"12.78,12264,7.13,70.54,High"
"13.27,10665,5.71,66.55,Normal"
"13.14,10097,6.12,68.97,Normal"
"12.34,10972,5.77,67,Normal"
"12.31,10381,7.11,70.17,Normal"
"14.91,14609,10.25,73.98,Very-High"
"12.61,12860,8.49,72.43,High"
"13,11533,8.53,72.27,High"
"12.85,12200,7.63,71.44,High"
"13.14,11650,7.8,71.22,High"
"14,11779,7.96,72.49,High"
"12.69,11468,6.98,72.16,High"
"12.36,10265,07.09,71.36,Normal"
"12.2,10499,6.81,71.26,Normal"
