nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;380;"SUMATERA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;328.1;RIAU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;144.7;JAMBI
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;785.9;"SUMATERA SELATAN"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;235;BENGKULU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;1295.7;LAMPUNG
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;56.5;"KEP. BANGKA BELITUNG"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;71.6;"KEP. RIAU"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;-;"DKI JAKARTA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;2803.3;"JAWA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;3869.9;"JAWA TENGAH"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;298.2;"DI YOGYAKARTA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;4579.6;"JAWA TIMUR"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;486.8;BANTEN
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;109.3;BALI
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;547.7;"NUSA TENGGARA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;1038.7;"NUSA TENGGARA TIMUR"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2007;Tahunan;440.2;"KALIMANTAN BARAT"
